seed,sim_gens,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
3522055967467,80,0,0,0.13,0.876,0.6562,4,14
3187675354649,80,0,0,0.13,0.876,0.6562,4,15
7094734567553,80,0,0,0.13,0.876,0.6562,4,16
4341715201858,80,0,0,0.13,0.876,0.6562,4,17
4323775068676,80,0,0,0.13,0.876,0.6562,4,18
7071824491347,80,0,0,0.13,0.876,0.6562,4,19
7652656212331,80,0,0,0.13,0.876,0.6562,4,2
7229665245812,80,0,0,0.13,0.876,0.6562,4,20
3171535302057,80,0,0,0.13,0.876,0.6562,4,21
3033334838404,80,0,0,0.13,0.876,0.6562,4,22
4361785363818,80,0,0,0.13,0.876,0.6562,4,23
7177554986609,80,0,0,0.13,0.876,0.6562,4,24
3030254830805,80,0,0,0.13,0.876,0.6562,4,25
1684675322694,80,0,0,0.13,0.876,0.6562,4,26
4764236264192,80,0,0,0.13,0.876,0.6562,4,27
7110394622082,80,0,0,0.13,0.876,0.6562,4,28
7150154858128,80,0,0,0.13,0.876,0.6562,4,29
3576836269590,80,0,0,0.13,0.876,0.6562,4,3
4268314523189,80,0,0,0.13,0.876,0.6562,4,30
3023724810542,80,0,0,0.13,0.876,0.6562,4,4
7122584686329,80,0,0,0.13,0.876,0.6562,4,5
7053424466060,80,0,0,0.13,0.876,0.6562,4,6
7685146389713,80,0,0,0.13,0.876,0.6562,4,7
2921054469698,80,0,0,0.13,0.876,0.6562,4,8
7233585264415,80,0,0,0.13,0.876,0.6562,4,9
7224615226712,80,0,0,0.13,0.876,0.7805,15,1
1660314699424,80,0,0,0.13,0.876,0.7805,15,10
3609176390660,80,0,0,0.13,0.876,0.7805,15,11
7181625003562,80,0,0,0.13,0.876,0.7805,15,12
7253165368507,80,0,0,0.13,0.876,0.7805,15,13
2958054570919,80,0,0,0.13,0.876,0.7805,15,14
3064374937783,80,0,0,0.13,0.876,0.7805,15,15
3519635950538,80,0,0,0.13,0.876,0.7805,15,16
7130854746985,80,0,0,0.13,0.876,0.7805,15,17
3179845325431,80,0,0,0.13,0.876,0.7805,15,18
1795526216646,80,0,0,0.13,0.876,0.7805,15,19
1647644493494,80,0,0,0.13,0.876,0.7805,15,2
4298844806320,80,0,0,0.13,0.876,0.7805,15,20
3113125099233,80,0,0,0.13,0.876,0.7805,15,21
3124665134275,80,0,0,0.13,0.876,0.7805,15,22
