seed,sim_gens,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
2131858283263,80,0,0,0.13,0.876,0.5446,15,1
2668559419845,80,0,0,0.13,0.876,0.5446,15,10
2739299573414,80,0,0,0.13,0.876,0.5446,15,11
2299838631256,80,0,0,0.13,0.876,0.5446,15,12
2121358259910,80,0,0,0.13,0.876,0.5446,15,13
2757189612789,80,0,0,0.13,0.876,0.5446,15,14
2186068393311,80,0,0,0.13,0.876,0.5446,15,15
2023448056783,80,0,0,0.13,0.876,0.5446,15,16
2358418757681,80,0,0,0.13,0.876,0.5446,15,17
2730269554491,80,0,0,0.13,0.876,0.5446,15,18
2260038554351,80,0,0,0.13,0.876,0.5446,15,19
2077618163810,80,0,0,0.13,0.876,0.5446,15,2
2459748977380,80,0,0,0.13,0.876,0.5446,15,20
2595059258468,80,0,0,0.13,0.876,0.5446,15,21
2748489594495,80,0,0,0.13,0.876,0.5446,15,22
2100918215642,80,0,0,0.13,0.876,0.5446,15,23
2517589102764,80,0,0,0.13,0.876,0.5446,15,24
2103988221718,80,0,0,0.13,0.876,0.5446,15,25
2286118599899,80,0,0,0.13,0.876,0.5446,15,26
2536619139887,80,0,0,0.13,0.876,0.5446,15,27
1989287984588,80,0,0,0.13,0.876,0.5446,15,28
2381778810178,80,0,0,0.13,0.876,0.5446,15,29
2687109460028,80,0,0,0.13,0.876,0.5446,15,3
2281808592403,80,0,0,0.13,0.876,0.5446,15,30
2444128939754,80,0,0,0.13,0.876,0.5446,15,4
2131148282262,80,0,0,0.13,0.876,0.5446,15,5
2726209544553,80,0,0,0.13,0.876,0.5446,15,6
2493519051506,80,0,0,0.13,0.876,0.5446,15,7
2288768608157,80,0,0,0.13,0.876,0.5446,15,8
2616219306378,80,0,0,0.13,0.876,0.5446,15,9
2700439489134,80,0,0,0.13,0.876,0.5446,4,1
1950037902889,80,0,0,0.13,0.876,0.5446,4,10
2098238211117,80,0,0,0.13,0.876,0.5446,4,11
2545239158778,80,0,0,0.13,0.876,0.5446,4,12
2720229533757,80,0,0,0.13,0.876,0.5446,4,13
2087008184495,80,0,0,0.13,0.876,0.5446,4,14
2444118939751,80,0,0,0.13,0.876,0.5446,4,15
2605489281679,80,0,0,0.13,0.876,0.5446,4,16
2483729027561,80,0,0,0.13,0.876,0.5446,4,17
2108128231696,80,0,0,0.13,0.876,0.5446,4,18
2584149234905,80,0,0,0.13,0.876,0.5446,4,19
2763479625953,80,0,0,0.13,0.876,0.5446,4,2
2170128360410,80,0,0,0.13,0.876,0.5446,4,20
2031888074422,80,0,0,0.13,0.876,0.5446,4,21
2094378201175,80,0,0,0.13,0.876,0.5446,4,22
2733299561385,80,0,0,0.13,0.876,0.5446,4,23
2328418693599,80,0,0,0.13,0.876,0.5446,4,24
2737279568663,80,0,0,0.13,0.876,0.5446,4,25
2555719182819,80,0,0,0.13,0.876,0.5446,4,26
2304018639854,80,0,0,0.13,0.876,0.5446,4,27
2633699340878,80,0,0,0.13,0.876,0.5446,4,28
2247938527394,80,0,0,0.13,0.876,0.5446,4,29
1935017881461,80,0,0,0.13,0.876,0.5446,4,3
2565189203929,80,0,0,0.13,0.876,0.5446,4,30
2186118393329,80,0,0,0.13,0.876,0.5446,4,4
2699109486947,80,0,0,0.13,0.876,0.5446,4,5
2111938240365,80,0,0,0.13,0.876,0.5446,4,6
2348518736286,80,0,0,0.13,0.876,0.5446,4,7
2555759182832,80,0,0,0.13,0.876,0.5446,4,8
2004068016461,80,0,0,0.13,0.876,0.5446,4,9
2286148599907,80,0,0,0.13,0.876,0.6562,15,1
2367158779158,80,0,0,0.13,0.876,0.6562,15,10
2545369158843,80,0,0,0.13,0.876,0.6562,15,11
2098268211155,80,0,0,0.13,0.876,0.6562,15,12
2276048576886,80,0,0,0.13,0.876,0.6562,15,13
2503029070754,80,0,0,0.13,0.876,0.6562,15,14
1995037997130,80,0,0,0.13,0.876,0.6562,15,15
2159228333496,80,0,0,0.13,0.876,0.6562,15,16
2061548130795,80,0,0,0.13,0.876,0.6562,15,17
2534429135276,80,0,0,0.13,0.876,0.6562,15,18
2125048270152,80,0,0,0.13,0.876,0.6562,15,19
2321648677383,80,0,0,0.13,0.876,0.6562,15,2
2595859260253,80,0,0,0.13,0.876,0.6562,15,20
2456838970633,80,0,0,0.13,0.876,0.6562,15,21
2511039088602,80,0,0,0.13,0.876,0.6562,15,22
2290878612062,80,0,0,0.13,0.876,0.6562,15,23
