seed,sim_gens,init_corin,init_opt,final_opt,fitness_width,lambda,replicate
4138844560712,80,0,0.13,0.876,0.6562,4,20
3931243681211,80,0,0.13,0.876,0.6562,4,21
3868303288364,80,0,0.13,0.876,0.6562,4,22
7985264357916,80,0,0.13,0.876,0.6562,4,23
4042224180305,80,0,0.13,0.876,0.6562,4,24
8225665566267,80,0,0.13,0.876,0.6562,4,25
4949525273868,80,0,0.13,0.876,0.6562,4,26
4195034773440,80,0,0.13,0.876,0.6562,4,27
8085084856619,80,0,0.13,0.876,0.6562,4,28
8204845453809,80,0,0.13,0.876,0.6562,4,29
3836673081866,80,0,0.13,0.876,0.6562,4,3
3893983463676,80,0,0.13,0.876,0.6562,4,30
4300915190960,80,0,0.13,0.876,0.6562,4,4
3788742798470,80,0,0.13,0.876,0.6562,4,5
7772462597853,80,0,0.13,0.876,0.6562,4,6
3872613320542,80,0,0.13,0.876,0.6562,4,7
2043936309491,80,0,0.13,0.876,0.6562,4,8
4304315203480,80,0,0.13,0.876,0.6562,4,9
2866346304747,80,0,0.13,0.876,0.7805,15,1
4098954395744,80,0,0.13,0.876,0.7805,15,10
8049314672060,80,0,0.13,0.876,0.7805,15,11
7699081975905,80,0,0.13,0.876,0.7805,15,12
4255085022640,80,0,0.13,0.876,0.7805,15,13
4954135315552,80,0,0.13,0.876,0.7805,15,14
1993996037903,80,0,0.13,0.876,0.7805,15,15
1961835866520,80,0,0.13,0.876,0.7805,15,16
3651822014653,80,0,0.13,0.876,0.7805,15,17
4948905266900,80,0,0.13,0.876,0.7805,15,18
3724042427677,80,0,0.13,0.876,0.7805,15,19
8078504821403,80,0,0.13,0.876,0.7805,15,2
2584335786563,80,0,0.13,0.876,0.7805,15,20
4578646088049,80,0,0.13,0.876,0.7805,15,21
8114755008408,80,0,0.13,0.876,0.7805,15,22
8219845541060,80,0,0.13,0.876,0.7805,15,23
4766255688142,80,0,0.13,0.876,0.7805,15,24
4077794319427,80,0,0.13,0.876,0.7805,15,25
3771672700196,80,0,0.13,0.876,0.7805,15,26
3805042886434,80,0,0.13,0.876,0.7805,15,27
3784252772895,80,0,0.13,0.876,0.7805,15,28
7743852377035,80,0,0.13,0.876,0.7805,15,29
1895294667205,80,0,0.13,0.876,0.7805,15,3
4230734917988,80,0,0.13,0.876,0.7805,15,30
7713222084606,80,0,0.13,0.876,0.7805,15,4
4910494846763,80,0,0.13,0.876,0.7805,15,5
8176405309052,80,0,0.13,0.876,0.7805,15,6
4245384979912,80,0,0.13,0.876,0.7805,15,7
3995984004763,80,0,0.13,0.876,0.7805,15,8
4792332027462,80,0,0.13,0.876,0.7805,15,9
3740412516974,80,0,0.13,0.876,0.7805,4,1
8049324672064,80,0,0.13,0.876,0.7805,4,10
4099364396972,80,0,0.13,0.876,0.7805,4,11
2605226109827,80,0,0.13,0.876,0.7805,4,12
4103734419105,80,0,0.13,0.876,0.7805,4,13
4017574091805,80,0,0.13,0.876,0.7805,4,14
7713202084606,80,0,0.13,0.876,0.7805,4,15
3858213217640,80,0,0.13,0.876,0.7805,4,16
4582856121994,80,0,0.13,0.876,0.7805,4,17
4023954120396,80,0,0.13,0.876,0.7805,4,18
2037866276927,80,0,0.13,0.876,0.7805,4,19
7954654184944,80,0,0.13,0.876,0.7805,4,2
7849693422895,80,0,0.13,0.876,0.7805,4,20
