"term","estimate","std.error","statistic","p.value"
"(Intercept)",3.36034704612649,2.47221120874159,1.35924755710374,0.174068155984068
"srt",0.0767490780160854,0.0120718426377342,6.35769371083276,2.04805319810468e-10
"bio_2",0.0300854844705448,0.0159377949403515,1.88768173910771,0.0590686893062819
"bio_3",-0.31474406241169,0.0936436873675439,-3.36108147019398,0.000776379213814455
