"term","estimate","std.error","statistic","p.value"
"(Intercept)",4.10867896082733,2.30048687483884,1.78600408711968,0.0740985963765059
"snow.cover",0.0357463571525396,0.00575375825295622,6.21269708962372,5.20827912626651e-10
"bio_2",0.0454220690293605,0.0170582057998705,2.66276943555842,0.00775004965926601
"bio_3",-0.357388997422465,0.0898751714136241,-3.97650420912898,6.99357616023028e-05
