SPEC,roundlon,roundlat
Leptown,-120.96135,41.41052
Leptown,-98.9337,47.0646
Leptown,-107.61246,42.46906
Leptown,-104.85556,39.37222
Leptown,-106.44389,40.5625
Leptown,-103.78208,38.32558
Leptown,-106.53585,39.99002
Leptown,-100.43462,42.45564
Leptown,-107.94535,39.83197
Leptown,-107.0792,47.5829
Leptown,-120.89433,45.65478
Leptown,-119.0603,44.7878
Leptown,-118.70763,37.77498
Leptown,-111.58993,42.18185
Leptown,-110.95925,41.8967
Leptown,-117.5894,44.8742
Leptown,-117.6063,42.0098
Leptown,-113.38663,45.01402
Leptown,-117.97139,46.32389
Leptown,-97.38889,49.86667
Leptown,-120.7511,44.9749
Leptown,-99.84167,50.24583
Leptown,-117.0657,45.5593
Leptown,-105.50167,44.29111
Leptown,-105.7,41.66667
Leptown,-105.4123,41.0526
Leptown,-106.98,38.95
Leptown,-101.1474,38.91694
Leptown,-112.031,47.684
Leptown,-98.62287,38.10555
Leptown,-101.65277,43.17247
Leptown,-100.57444,41.8315
Leptown,-118.21877,36.50045
Leptown,-98.02674,42.07001
Leptown,-101.07482,45.42709
Leptown,-104.25,52.06667
Leptown,-110.08193,47.37787
Leptown,-99.8792,39.025
Leptown,-104.87,47.29
Leptown,-102.35,40.8667
Leptown,-112.50409,42.8714
Leptown,-98.99754,48.94475
Leptown,-113.02112,46.6674
Leptown,-111.6788,45.2032
Leptown,-104.5445,43.61564
Leptown,-110.4129,41.062
Leptown,-105.37858,43.40577
Leptown,-108.16,43.86
Leptown,-108.50838,41.95966
Leptown,-106.53596,43.09438
Leptown,-108.85583,41.19168
Leptown,-108.58365,40.2528
Leptown,-103.8156,43.02138
Leptown,-99.74876,42.99831
Leptown,-103.17715,45.40064
Leptown,-103.6861,45.8577
Leptown,-100.1455,45.0886
Leptown,-92.61277,41.46275
Leptown,-103.52947,44.31026
Leptown,-108.34669,45.01364
Leptown,-116.41099,44.4713
Leptown,-93.21596,41.59918
Leptown,-94.14144,40.25221
Leptown,-107.24892,40.95288
Leptown,-99.6,49.71667
Leptown,-98.63333,51.76667
Leptown,-98.31667,50.18333
Leptown,-106.22336,38.84222
Leptown,-118.2,44.43333
Leptown,-102.26889,39.3061
Leptown,-102.5802,42.1231
Leptown,-95.934,45.94131
Leptown,-101.5083,43.7062
Leptown,-103.79944,40.25027
Leptown,-119.6,47.59
Leptown,-115.5,41.6833
Leptown,-106.6667,42.5
Leptown,-108.68015,39.16034
Leptown,-98.0017,49.5
Leptown,-100.09149,46.56529
Leptown,-102.02654,42.7529
Leptown,-93.49096,42.3128
Leptown,-96.8209,48.3328
Leptown,-112.1236,42.4286
Leptown,-114.0552,46.2047
Leptown,-102.97423,41.19082
Leptown,-104.99311,44.80585
Leptown,-107.3796,47.1008
Leptown,-109.6024,44.17881
Leptown,-107.15504,43.30726
Leptown,-115.47417,40.43417
Leptown,-97.19332,42.14861
Leptown,-100.9042,43.1885
Leptown,-102.806,46.91753
Leptown,-101.7953,47.003
Leptown,-104.26323,45.57926
Leptown,-94.60437,41.36003
Leptown,-109.5,49.66667
Leptown,-107.26667,41.76667
Leptown,-109.45,41.55
Leptown,-109.35,40.38333
Leptown,-119.48139,49.06899
Leptown,-106.1992,43.9639
Leptown,-107.97861,41.67306
Leptown,-91.987,43.2534
Leptown,-93.6594,43.2295
Leptown,-111.8333,41.6667
Leptown,-104.05188,48.8703
Leptown,-111.88333,50.58333
Leptown,-110.56107,45.66243
Leptown,-109.65,41
Leptown,-109.42075,42.11056
Leptown,-104.31861,41.54361
Leptown,-100.5867,48.3153
Leptown,-113.60733,60.11501
Leptown,-110.69835,44.97754
Leptown,-94.7518,39.87059
Leptown,-94.86692,40.34999
Leptown,-114.31733,43.5525
Leptown,-104.74591,38.33501
Leptown,-113.41869,37.11499
Leptown,-106.63976,37.67
Leptown,-105.50055,37.20496
Leptown,-102.22325,40.07582
Leptown,-104.70125,40.50737
Leptown,-103.50357,39.8241
Leptown,-104.57611,38.8242
Leptown,-108.3748,38.15999
Leptown,-105.94865,38.2486
Leptown,-96.10414,44.17726
Leptown,-103.75203,48.10435
Leptown,-113.96366,46.85257
Leptown,-108.54188,46.44818
Leptown,-105.76251,47.29791
Leptown,-108.95864,47.30471
Leptown,-112.59885,45.21719
Leptown,-110.11432,42.53828
Leptown,-114.51865,42.72407
Leptown,-106.03312,42.557
Leptown,-96.19322,45.01138
Leptown,-115.1595,42.0713
