SPEC,roundlon,roundlat
Leptown,-108.0679,40.74238
Leptown,-109.93462,46.46856
Leptown,-112.84562,49.73839
Leptown,-97.20787,49.98833
Leptown,-96.87949,46.89344
Leptown,-110.70795,44.96772
Leptown,-114.01785,51.26775
Leptown,-114.05369,51.47202
Leptown,-104.64954,39.87742
Leptown,-97.78758,43.66283
Leptown,-108.42455,48.94265
Leptown,-104.28105,46.80847
Leptown,-119.23274,37.84837
Leptown,-103.01661,48.25297
Leptown,-107.51034,49.15107
Leptown,-101.3864,47.35973
Leptown,-97.12935,50.17047
Leptown,-105.72148,41.17711
Leptown,-119.63917,38.29765
Leptown,-119.6808,38.40741
Leptown,-119.83639,38.57098
Leptown,-119.76704,38.47597
Leptown,-119.92822,38.33519
Leptown,-99.37963,45.46293
Leptown,-119.56158,46.37304
Leptown,-97.04256,43.78555
Leptown,-114.0986,55.06208
Leptown,-106.73381,52.12757
Leptown,-113.41116,53.51411
Leptown,-112.82279,53.01384
Leptown,-120.31158,41.94938
Leptown,-119.30029,38.44484
Leptown,-95.225,43.4213
Leptown,-118.52134,37.20514
Leptown,-106.58223,52.10581
Leptown,-111.9409,53.47865
Leptown,-118.82769,37.5914
Leptown,-106.18141,40.45387
Leptown,-113.51117,53.33267
Leptown,-107.36509,49.06359
Leptown,-96.43515,47.02054
Leptown,-114.03155,51.04478
Leptown,-113.46424,53.63172
Leptown,-108.84764,52.37245
Leptown,-103.78673,42.55294
Leptown,-113.72525,52.48352
Leptown,-110.55143,41.77296
Leptown,-108.41703,49.34305
Leptown,-114.13371,50.93713
Leptown,-105.87254,39.22679
Leptown,-111.03337,41.43361
Leptown,-111.61956,49.08589
Leptown,-104.85261,50.60077
Leptown,-104.65953,50.49967
Leptown,-119.88968,38.86721
Leptown,-120.02715,38.72241
Leptown,-119.92185,39.34511
Leptown,-107.00355,43.03194
Leptown,-105.21915,51.3527
Leptown,-102.99067,49.86467
Leptown,-100.06956,51.13367
Leptown,-119.88705,39.15773
Leptown,-102.38708,48.65469
Leptown,-105.54807,40.06419
Leptown,-118.4202,36.77702
Leptown,-104.11757,40.71298
Leptown,-105.52548,37.74406
Leptown,-106.14808,37.57917
Leptown,-114.2186,51.01853
Leptown,-113.60424,53.52126
Leptown,-100.94465,49.11771
Leptown,-112.15851,45.20154
Leptown,-113.96524,50.72603
Leptown,-104.35849,40.68436
Leptown,-95.33831,48.84687
Leptown,-97.14284,49.8027
Leptown,-103.272,39.255
Leptown,-100.73756,46.82682
Leptown,-113.9314,51.12709
Leptown,-103.15819,50.07332
Leptown,-104.37943,40.88468
Leptown,-107.77213,47.74746
Leptown,-119.47683,38.51491
Leptown,-111.97383,41.223
Leptown,-104.82025,41.13998
Leptown,-110,49.21667
Leptown,-107.73333,49.23333
Leptown,-108.81667,49.51667
Leptown,-100.58333,50.43333
Leptown,-103.66667,50.53333
Leptown,-105.23333,51.08333
Leptown,-104.85,49.15
Leptown,-106.7,49.18333
Leptown,-102.16667,51.05
Leptown,-119.58333,49.13333
Leptown,-111.29974,47.64804
Leptown,-114.08408,51.15038
Leptown,-111.65474,44.61784
Leptown,-118.91148,37.79935
Leptown,-112.96233,44.47083
Leptown,-119.36072,37.88227
Leptown,-99.96326,49.84483
Leptown,-113.76316,52.26116
Leptown,-113.95769,50.93038
Leptown,-114.3227,51.18027
Leptown,-110.50814,38.0821
Leptown,-111.54519,38.24059
Leptown,-113.34866,41.93155
Leptown,-111.34111,40.72472
Leptown,-111.79028,40.68917
Leptown,-106.33858,37.92613
Leptown,-111.11787,40.6034
Leptown,-113.744,41.867
Leptown,-109.18,40.71833
Leptown,-109.97,40.155
Leptown,-110.549,39.793
Leptown,-106.68112,38.18832
Leptown,-111.085,40.9804
Leptown,-111.2025,41.11167
Leptown,-110.34987,40.39917
Leptown,-110.00566,40.93528
Leptown,-111.21291,41.71879
Leptown,-111.2533,38.15868
Leptown,-111.19676,41.56
Leptown,-111.565,41.57296
Leptown,-107.41,37.01
