"catalognumber","decimallatitude","decimallongitude"
"30267871",51.1357296358,-114.2438037804
"30214585",50.4092783333,-104.6613083333
"29994195",51.0578528333,-114.0550778333
"29955730",53.5142743404,-113.5402355808
"29788171",53.4786505885,-111.9409048715
"29749407",49.9041111111,-97.2218777778
"29743699",37.5914033333,-118.8276883333
"29655538",53.532556089,-113.2630703563
"29587975",50.905255,-114.0525805
"18764642",53.501857,-113.367962
"29188195",51.0539388889,-114.0692527778
"29095397",51.0427278333,-114.0332945
"29095381",51.044075,-114.040275
"29088514",51.1694321522,-114.3701158217
"28598829",51.1478273,-114.0564139
"28185019",42.5275780556,-103.6963113889
"28181567",51.0125007629,-114.0449981689
"28081049",53.4581916667,-113.4972233333
"28061281",53.4583366667,-113.4972616667
"27993641",40.4538703,-106.1814128
"27850853",53.33267,-113.51117
"26673339",51.0198858286,-114.1914321492
"27740299",51.0485805,-114.1336583333
"27433545",49.0635853457,-107.3650903478
"27005496",47.0205371429,-96.4351511694
"23993793",50.9183842969,-113.9537211602
"26560436",51.044775139,-114.0315457174
"26219608",51.0174666667,-114.0872416667
"26150010",53.6317234068,-113.4642425739
"26110709",52.372448772,-108.847639988
"26044005",51.1111195,-114.0757916667
"25966352",52.1363910902,-106.6378769743
"25966353",52.1363910902,-106.6378769743
"25647635",51.13273989,-114.21216929
"25365908",42.5529430556,-103.7867263889
"9092670",51.0778045654,-114.1282119751
"9086823",51.0802810022,-114.1275608836
"8949214",51.1189485247,-113.9379071394
"25092216",50.9047429147,-114.0786195009
"25022150",51.0486151,-114.0708459
"24978913",52.4835174,-113.7252464
"24874806",41.772955,-110.551431
"24861720",52.4837905011,-113.725958513
"24796245",51.0789666667,-114.1253138333
"24654526",51.0744075559,-114.0883107856
"24642557",51.0760354906,-114.0863977511
"24529093",51.0486151,-114.0708459
"24413419",51.0692208693,-114.0895968379
"24412742",51.01351945,-114.1002888333
"24413418",51.0695984084,-114.0889960231
"24098525",51.1548851739,-114.0876564549
"24087319",51.0899695,-114.0649028333
"24069471",50.9609116667,-114.0880805
"24073563",51.0630945,-114.0682445
"24072813",50.9781033333,-114.0819333333
"24066083",50.9574616667,-114.0907221667
"24033733",50.8585218918,-114.0027299748
"23997830",51.0343196921,-114.1951203385
"23826844",51.0866211216,-114.1242539139
"23815316",51.0753616244,-114.0872112898
"23809460",51.0204308362,-114.2010425555
"23782527",50.8886611881,-114.0104828217
"23782482",50.8883158422,-114.0107519719
"23775292",51.0749388333,-114.0826638333
"23768341",53.615451,-113.396034
"23758889",50.9071441929,-114.118399545
"23730432",51.1418253977,-114.1401745006
"23721633",51.0753611111,-114.087375
"23704507",51.0349209,-114.04215
"23639269",53.6098947404,-113.5190097615
"23524365",51.0971824531,-114.1849800181
"23500428",49.34305454,-108.4170332481
"23373415",50.9371265351,-114.1337083724
"23355628",51.0983362,-114.1322484
"23316760",51.1375900498,-114.085460622
"23290289",51.1547528243,-114.0866936307
"23144273",51.0656249751,-113.9875990525
"23135117",51.068462141,-114.0623699874
"23087748",46.9001101763,-96.8128471558
"23035782",51.294155,-114.0354
"22920421",51.07088763,-114.06774908
"22474379",50.954301,-114.037232
"22461447",50.9110027778,-114.0470416667
"22464143",49.061377915,-107.3587795087
"22388262",51.0823216243,-114.0667572432
"22388328",51.0823895177,-114.0668811278
"22349092",50.4201622675,-104.6342926331
"22286426",40.0024778619,-107.8370742152
"22220554",52.27622285,-113.83688246
"22006451",51.0705945,-114.113175
"21899665",50.97775,-114.0822
"21854257",39.2267883333,-105.872545
"21775368",53.5392999628,-113.5114407771
"18171228",51.078425,-114.1324528333
"21152000",51.1088490572,-114.0843410605
"21106118",51.010109441,-114.1125378062
"21041031",51.041232624,-114.1480700897
"20540783",50.9810783333,-114.0200888333
"9086818",51.1189415362,-113.937886476
"7700799",41.858311,-110.765877
"7326485",52.1234961702,-106.6622579097
"20987970",53.4125981835,-113.4499662003
"20987971",53.4125998792,-113.4499672035
"20954908",52.1312072835,-106.6339233223
"20931453",51.0497055,-114.1674283333
"19335063",41.433607,-111.033368
"20743627",40.0024778619,-107.8370742152
"20608140",53.5256694444,-113.5213
"20500567",51.1010553848,-114.1666164415
"20322097",51.0486151,-114.0708459
"20308693",49.0858903,-111.6195612
"20290699",53.5242879271,-113.5235260986
"19699841",49.1521419864,-107.5157672344
"19271184",50.600770658,-104.8526130941
"8951369",51.0754195,-114.1342555
"9092646",51.077922821,-114.1279602051
"19392686",51.0486151,-114.0708459
"19335070",41.459343,-111.147238
"9655419",50.4996719874,-104.6595339772
"9118980",38.86721,-119.88968
"9092989",37.8756494607,-119.3595457077
"8896276",51.0794916667,-114.1254721667
"8991286",51.0787658691,-114.1325302124
"8858948",51.0576324463,-114.1212692261
"8820211",51.0756378174,-114.1346359253
"8905827",51.07755,-114.1327528333
"8800949",51.1089873,-114.0587259
"8800763",51.1156419,-114.0602889
"8800001",51.0781599,-114.1358007
"8799607",51.104755,-114.066652
"8861753",51.10898636,-114.18530624
"8799606",51.104755,-114.066652
"8400392",51.1519770837,-114.0930803587
"8344172",52.2586858562,-113.7755127226
"5940497",50.9118461021,-113.9997571707
"4466601",52.27760173,-113.83973614
"19161032",38.7224062767,-120.0271524197
"19161030",39.3451050564,-119.9218491539
"19161033",38.78174,-119.97736
"19161031",38.71541,-119.9978
"18908126",49.1237711,-107.4469847
"18452998",51.079381479,-114.125655368
"18321887",51.0181083333,-114.1046
"18320150",51.0799518748,-114.1309383139
"18320025",51.0797979023,-114.1309530661
"18320017",51.0798242314,-114.1310301796
"18320207",51.0758028642,-114.1268593445
"18320065",51.0797930578,-114.1310093924
"18320056",51.0798425565,-114.1310955584
"18320044",51.0797816836,-114.1310194507
"18286782",51.0795861667,-114.1306528333
"18219076",51.0791554672,-114.1325784847
"18116322",51.0905036926,-114.1296691895
"17728125",43.031944,-107.003554
"17539328",51.080375556,-114.1206232925
"16921916",51.2781066895,-114.028465271
"16981755",51.0812258,-114.1297774
"16667969",53.520053035,-113.6034102531
"16665784",51.086584,-114.139298
"16660280",51.0794448853,-114.1238861084
"15652644",51.0418138889,-114.0797277778
"15652645",51.0418083333,-114.0796805556
"12865202",51.3527015496,-105.2191543579
"12838290",49.7919816667,-102.932015
"12838407",49.8646683333,-102.99067
"11439515",51.1336724184,-100.0695576666
"9118978",39.15773,-119.88705
"9118975",39.3473,-119.92174
"19123814",51.0872002787,-114.080824666
"18907960",49.1237711,-107.4469847
"18509039",51.0430561889,-114.0441089855
"18503068",40.0024778619,-107.8370742152
"18333057",51.0795861667,-114.1306528333
"15111563",48.6546858482,-102.3870849609
"12357622",40.0641948028,-105.5480712088
"18861716",46.8538660949,-100.7645193223
"18848869",52.133939359,-106.632415317
"18687004",53.5194444444,-113.5222222222
"16031714",52.0904554502,-106.6430394524
"15736104",36.7770167549,-118.42020493
"18381334",51.0212359904,-114.108656617
"18344211",51.0463578,-114.0820768
"18343797",51.103805,-113.97264
"18343889",51.103805,-113.97264
"18300098",51.0799340511,-114.1298068563
"18300109",51.079934051,-114.129683475
"18300104",51.0799439513,-114.1299838829
"18300106",51.0798851844,-114.1299785177
"18292946",51.0797233582,-114.130279541
"18292953",51.0783348083,-114.1322250366
"18287949",51.0564611667,-114.16848
"18220115",51.0802554722,-114.1254761944
