"catalognumber","decimallatitude","decimallongitude","roundlat","roundlon"
"35071880",55.0620816084,-114.0986047967,55.06208,-114.0986
"34580914",52.1275697433,-106.7338146584,52.12757,-106.73381
"34648251",53.5141061798,-113.4111571963,53.51411,-113.41116
"34552000",53.543258,-113.510484,53.54326,-113.51048
"34568217",53.53915833,-113.51145833,53.53916,-113.51146
"34478280",53.5239216667,-113.519805,53.52392,-113.5198
"34480522",38.3215731597,-119.6108259584,38.32157,-119.61083
"34150300",53.0138352214,-112.8227911144,53.01384,-112.82279
"33917140",53.5207367383,-113.6041161241,53.52074,-113.60412
"33678054",50.9469333333,-114.0878,50.94693,-114.0878
"33653996",53.545344,-113.510918,53.54534,-113.51092
"33654515",53.545462,-113.5128389722,53.54546,-113.51284
"33653874",53.54455675,-113.5102170278,53.54456,-113.51022
"33653938",53.5386519722,-113.5087199722,53.53865,-113.50872
"33506873",53.5267206146,-113.5195586085,53.52672,-113.51956
"MVZ:Mamm:79589",41.9493752,-120.3115805,41.94938,-120.31158
"MVZ:Mamm:105673",38.44484,-119.300287,38.44484,-119.30029
"MSB:Mamm:7619",43.4213,-95.225,43.4213,-95.225
"33448295",52.1251090103,-106.658826495,52.12511,-106.65883
"33414373",53.5361897427,-113.5115783842,53.53619,-113.51158
"33414051",53.5383043868,-113.5104015919,53.5383,-113.5104
"33406219",53.6355299537,-113.4623299537,53.63553,-113.46233
"33414052",53.5365250479,-113.5101591225,53.53653,-113.51016
"33150494",50.8746896338,-114.0374260929,50.87469,-114.03743
"33046855",50.50672319,-104.6628269994,50.50672,-104.66283
"32843874",37.2051416667,-118.5213383333,37.20514,-118.52134
"32803372",37.7904970565,-119.1893457105,37.7905,-119.18935
"32761842",53.0162092724,-112.8288618654,53.01621,-112.82886
"32718126",50.9634448815,-114.008397173,50.96344,-114.0084
"32528686",53.5461245,-113.4938229,53.54612,-113.49382
"32512569",53.5473509722,-113.515262,53.54735,-113.51526
"32513744",53.5425878,-113.5104579,53.54259,-113.51046
"32513679",53.5422184722,-113.5102363611,53.54222,-113.51024
"32512949",53.5474419722,-113.515624,53.54744,-113.51562
"32513142",53.545008,-113.5101889722,53.54501,-113.51019
"32087701",53.5518707507,-113.2074579097,53.55187,-113.20746
"31772938",51.052475,-114.0632555556,51.05248,-114.06326
"31772928",51.0566222222,-114.0758833333,51.05662,-114.07588
"31521727",53.4576355517,-113.5145489126,53.45764,-113.51455
"31453091",51.0847555,-114.0726305,51.08476,-114.07263
"31376369",50.957735,-114.0645969,50.95774,-114.0646
"29203352",50.400454687,-104.6413756907,50.40045,-104.64138
"31157577",50.9790283333,-114.0816333333,50.97903,-114.08163
"31098366",52.1058149464,-106.5822335596,52.10581,-106.58223
"30948268",51.1350157765,-114.2426722495,51.13502,-114.24267
"30878875",51.0207888333,-114.1011055,51.02079,-114.10111
"30785708",51.0558445,-114.067825,51.05584,-114.06782
"30402634",52.1091193936,-106.6552518229,52.10912,-106.65525
"30267871",51.1357296358,-114.2438037804,51.13573,-114.2438
"30214585",50.4092783333,-104.6613083333,50.40928,-104.66131
"29994195",51.0578528333,-114.0550778333,51.05785,-114.05508
"29955730",53.5142743404,-113.5402355808,53.51427,-113.54024
"29788171",53.4786505885,-111.9409048715,53.47865,-111.9409
"29749407",49.9041111111,-97.2218777778,49.90411,-97.22188
"29743699",37.5914033333,-118.8276883333,37.5914,-118.82769
"29655538",53.532556089,-113.2630703563,53.53256,-113.26307
"29587975",50.905255,-114.0525805,50.90525,-114.05258
"18764642",53.501857,-113.367962,53.50186,-113.36796
"29188195",51.0539388889,-114.0692527778,51.05394,-114.06925
"29095397",51.0427278333,-114.0332945,51.04273,-114.03329
"29095381",51.044075,-114.040275,51.04408,-114.04027
"29088514",51.1694321522,-114.3701158217,51.16943,-114.37012
"28598829",51.1478273,-114.0564139,51.14783,-114.05641
"28185019",42.5275780556,-103.6963113889,42.52758,-103.69631
"28181567",51.0125007629,-114.0449981689,51.0125,-114.045
"28081049",53.4581916667,-113.4972233333,53.45819,-113.49722
"28061281",53.4583366667,-113.4972616667,53.45834,-113.49726
"27993641",40.4538703,-106.1814128,40.45387,-106.18141
"27850853",53.33267,-113.51117,53.33267,-113.51117
"26673339",51.0198858286,-114.1914321492,51.01989,-114.19143
"27740299",51.0485805,-114.1336583333,51.04858,-114.13366
"27433545",49.0635853457,-107.3650903478,49.06359,-107.36509
"27005496",47.0205371429,-96.4351511694,47.02054,-96.43515
"23993793",50.9183842969,-113.9537211602,50.91838,-113.95372
"26560436",51.044775139,-114.0315457174,51.04478,-114.03155
"26219608",51.0174666667,-114.0872416667,51.01747,-114.08724
"26150010",53.6317234068,-113.4642425739,53.63172,-113.46424
"26110709",52.372448772,-108.847639988,52.37245,-108.84764
"26044005",51.1111195,-114.0757916667,51.11112,-114.07579
"25966352",52.1363910902,-106.6378769743,52.13639,-106.63788
"25647635",51.13273989,-114.21216929,51.13274,-114.21217
"25365908",42.5529430556,-103.7867263889,42.55294,-103.78673
"9092670",51.0778045654,-114.1282119751,51.0778,-114.12821
"9086823",51.0802810022,-114.1275608836,51.08028,-114.12756
"8949214",51.1189485247,-113.9379071394,51.11895,-113.93791
"25092216",50.9047429147,-114.0786195009,50.90474,-114.07862
"25022150",51.0486151,-114.0708459,51.04862,-114.07085
"24978913",52.4835174,-113.7252464,52.48352,-113.72525
"24874806",41.772955,-110.551431,41.77296,-110.55143
"24861720",52.4837905011,-113.725958513,52.48379,-113.72596
"24796245",51.0789666667,-114.1253138333,51.07897,-114.12531
"24654526",51.0744075559,-114.0883107856,51.07441,-114.08831
"24642557",51.0760354906,-114.0863977511,51.07604,-114.0864
"24413419",51.0692208693,-114.0895968379,51.06922,-114.0896
"24412742",51.01351945,-114.1002888333,51.01352,-114.10029
"24413418",51.0695984084,-114.0889960231,51.0696,-114.089
"24098525",51.1548851739,-114.0876564549,51.15489,-114.08766
"24087319",51.0899695,-114.0649028333,51.08997,-114.0649
"24069471",50.9609116667,-114.0880805,50.96091,-114.08808
"24073563",51.0630945,-114.0682445,51.06309,-114.06824
"24072813",50.9781033333,-114.0819333333,50.9781,-114.08193
"24066083",50.9574616667,-114.0907221667,50.95746,-114.09072
"24033733",50.8585218918,-114.0027299748,50.85852,-114.00273
"23997830",51.0343196921,-114.1951203385,51.03432,-114.19512
"23826844",51.0866211216,-114.1242539139,51.08662,-114.12425
"23815316",51.0753616244,-114.0872112898,51.07536,-114.08721
"23809460",51.0204308362,-114.2010425555,51.02043,-114.20104
"23782527",50.8886611881,-114.0104828217,50.88866,-114.01048
"23782482",50.8883158422,-114.0107519719,50.88832,-114.01075
"23775292",51.0749388333,-114.0826638333,51.07494,-114.08266
"23768341",53.615451,-113.396034,53.61545,-113.39603
"23758889",50.9071441929,-114.118399545,50.90714,-114.1184
"23730432",51.1418253977,-114.1401745006,51.14183,-114.14017
"23721633",51.0753611111,-114.087375,51.07536,-114.08737
"23704507",51.0349209,-114.04215,51.03492,-114.04215
"23639269",53.6098947404,-113.5190097615,53.60989,-113.51901
"23524365",51.0971824531,-114.1849800181,51.09718,-114.18498
"23500428",49.34305454,-108.4170332481,49.34305,-108.41703
"23373415",50.9371265351,-114.1337083724,50.93713,-114.13371
"23355628",51.0983362,-114.1322484,51.09834,-114.13225
"23316760",51.1375900498,-114.085460622,51.13759,-114.08546
"23290289",51.1547528243,-114.0866936307,51.15475,-114.08669
