SPEC,roundlon,roundlat
Leptown,-108.0679,40.74238
Leptown,-109.93462,46.46856
Leptown,-114.0861,50.97001
Leptown,-96.86147,46.85873
Leptown,-112.84562,49.73839
Leptown,-113.5217,53.52663
Leptown,-97.20787,49.98833
Leptown,-114.21309,51.1242
Leptown,-114.01597,51.04069
Leptown,-96.87791,46.89337
Leptown,-113.4723,53.50929
Leptown,-96.87645,46.89371
Leptown,-96.87949,46.89344
Leptown,-114.04941,51.0473
Leptown,-104.61481,50.42864
Leptown,-110.70795,44.96772
Leptown,-106.63041,52.13712
Leptown,-114.07806,50.90751
Leptown,-114.01785,51.26775
Leptown,-114.05369,51.47202
Leptown,-113.51188,53.54461
Leptown,-113.78847,52.23482
Leptown,-114.12473,51.07758
Leptown,-114.02673,51.2963
Leptown,-114.07785,50.90752
Leptown,-113.78854,52.23497
Leptown,-108.82589,49.58883
Leptown,-104.66219,39.86536
Leptown,-104.66244,39.85133
Leptown,-104.69664,39.8598
Leptown,-104.69569,39.84066
Leptown,-104.69624,39.87769
Leptown,-104.69631,39.88948
Leptown,-104.68479,39.88012
Leptown,-104.66694,39.85833
Leptown,-104.65241,39.87747
Leptown,-104.64954,39.87742
Leptown,-114.12494,51.07772
Leptown,-106.64257,52.08175
Leptown,-114.06267,50.92115
Leptown,-112.8179,49.73594
Leptown,-97.78758,43.66283
Leptown,-108.42455,48.94265
Leptown,-104.28105,46.80847
Leptown,-112.84479,49.73836
Leptown,-119.23274,37.84837
Leptown,-112.8537,49.73934
Leptown,-114.07188,51.04473
Leptown,-114.07769,51.04973
Leptown,-103.01661,48.25297
Leptown,-114.08083,51.15839
Leptown,-107.51034,49.15107
Leptown,-101.3864,47.35973
Leptown,-113.45549,53.53326
Leptown,-114.06496,51.05046
Leptown,-97.12935,50.17047
Leptown,-105.72148,41.17711
Leptown,-100.76386,46.85364
Leptown,-100.73596,46.82855
Leptown,-114.07819,50.90506
Leptown,-114.10606,51.05198
Leptown,-114.04866,51.01118
Leptown,-119.64008,38.35278
Leptown,-119.6757,38.38447
Leptown,-119.63678,38.29649
Leptown,-119.64711,38.35529
Leptown,-119.64626,38.32901
Leptown,-119.64772,38.35453
Leptown,-119.65759,38.30504
Leptown,-119.63419,38.29782
Leptown,-119.63917,38.29765
Leptown,-119.6808,38.40741
Leptown,-119.65085,38.33402
Leptown,-119.83639,38.57098
Leptown,-119.76637,38.47247
Leptown,-119.76129,38.47287
Leptown,-119.74394,38.47371
Leptown,-119.64825,38.35912
Leptown,-119.63952,38.35082
Leptown,-119.66628,38.34548
Leptown,-119.76704,38.47597
Leptown,-119.66471,38.38278
Leptown,-119.81399,38.54046
Leptown,-119.92822,38.33519
Leptown,-119.7961,38.49946
Leptown,-113.48083,53.51917
Leptown,-119.76668,38.47611
Leptown,-99.37963,45.46293
Leptown,-119.56158,46.37304
Leptown,-97.04256,43.78555
Leptown,-114.0986,55.06208
Leptown,-106.73381,52.12757
Leptown,-113.41116,53.51411
Leptown,-113.51048,53.54326
Leptown,-113.51146,53.53916
Leptown,-113.5198,53.52392
Leptown,-119.61083,38.32157
Leptown,-112.82279,53.01384
Leptown,-113.60412,53.52074
Leptown,-114.0878,50.94693
Leptown,-113.51092,53.54534
Leptown,-113.51284,53.54546
Leptown,-113.51022,53.54456
Leptown,-113.50872,53.53865
Leptown,-113.51956,53.52672
Leptown,-120.31158,41.94938
Leptown,-119.30029,38.44484
Leptown,-95.225,43.4213
Leptown,-106.65883,52.12511
Leptown,-113.51158,53.53619
Leptown,-113.5104,53.5383
Leptown,-113.46233,53.63553
Leptown,-113.51016,53.53653
Leptown,-114.03743,50.87469
Leptown,-104.66283,50.50672
Leptown,-118.52134,37.20514
Leptown,-119.18935,37.7905
Leptown,-112.82886,53.01621
Leptown,-114.0084,50.96344
Leptown,-113.49382,53.54612
Leptown,-113.51526,53.54735
Leptown,-113.51046,53.54259
Leptown,-113.51024,53.54222
Leptown,-113.51562,53.54744
Leptown,-113.51019,53.54501
