"thin_dist","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"0km","L",0.5,0.852832545731707,0.849078659702833,0.00112277553944512,0.0125239395446887,0.000470641653002635,0.00117370892018779,5.51037051731358e-06,0.107639861934235,0.000472784978576825,40729.0981006134,0,1,14
"0km","L",1,0.852957850609756,0.848635053609959,0.00115518253104004,0.0128594346573764,0.000496130698271802,0.00117370892018779,5.51037051731358e-06,0.113416299813126,0.00107940684737551,40807.6885642645,78.5904636510822,8.59602466687145e-18,14
"0km","L",1.5,0.852968902439024,0.848197264229774,0.0011469214752795,0.0130670320908161,0.000515038567742581,0.00117370892018779,5.51037051731358e-06,0.107735634308595,0.000983557681292772,40901.4208819286,172.322781315212,3.80700532511186e-38,14
"0km","L",2,0.851480716463415,0.846574017406453,0.00107954556096784,0.013411336264177,0.000552545590742201,0.00117370892018779,5.51037051731358e-06,0.113532978761787,0.00108323636032068,41050.7102571239,321.612156510535,1.4548142864753e-70,14
"0km","L",2.5,0.849508841463415,0.845032128342189,0.00101249440686443,0.0135449814796345,0.000582649222607544,0.00117370892018779,5.51037051731358e-06,0.114170864044498,0.00135005684689563,41165.3844129558,436.286312342389,1.82654766494193e-95,11
"0km","L",3,0.847105106707317,0.842709418767786,0.0010515806191434,0.0138012497472778,0.00062178797215722,0.00176056338028169,1.23983336639556e-05,0.116106445847771,0.00138130593757345,41273.4090436456,544.310943032251,6.37353684483232e-119,9
"0km","L",3.5,0.845694207317073,0.841300507993923,0.00110735930587436,0.0137164771195404,0.000615604429042418,0.00117370892018779,5.51037051731358e-06,0.114606485634515,0.00162335271898933,41333.8093372364,604.711236622992,4.88228800620469e-132,8
"0km","L",4,0.844490929878049,0.840097571244218,0.00112225412134229,0.0138076570960461,0.000614206791652076,0.00117370892018779,5.51037051731358e-06,0.113113834072971,0.00156772181688041,41393.7789043245,664.68080371114,4.63871147614706e-145,9
"0km","LQ",0.5,0.900726981707317,0.898271786896973,0.00047839874297213,0.0079354655503823,0.00019037031116438,0.000905797101449275,3.28187355597564e-06,0.100809853800606,0.000270583826471937,39326.5250318895,0,1,20
"0km","LQ",1,0.895059375,0.892951970037288,0.000485094231741547,0.00836818750948398,0.000210393717733496,0.000586854460093897,1.3775926293284e-06,0.100885689556977,0.000283399189914807,39529.1401186944,202.615086804923,1.00621995334671e-44,16
"0km","LQ",1.5,0.894021570121951,0.891375862936977,0.000423089567667399,0.00861939469260589,0.000223234490732792,0.000586854460093897,1.3775926293284e-06,0.101650338450913,0.00024467064326186,39631.9671701291,305.44213823961,4.72152627557423e-67,15
"0km","LQ",2,0.893278048780488,0.890509701481426,0.000401792179809658,0.0087024413354797,0.000228326839672413,0.000586854460093897,1.3775926293284e-06,0.101828132884756,0.000294592731359544,39758.7365052614,432.211473371899,1.40110618320206e-94,15
"0km","LQ",2.5,0.89269756097561,0.889868979090501,0.000431986729900739,0.00876372269563597,0.000233491442108411,0.000586854460093897,1.3775926293284e-06,0.105541438675449,0.000327386383075437,39841.2524935645,514.727461674978,1.69181104234055e-112,14
"0km","LQ",3,0.892263948170732,0.889490270807066,0.000436970105179679,0.00878830684175744,0.000238833443843629,0.000586854460093897,1.3775926293284e-06,0.105765731291046,0.000536807233979032,39910.6504307953,584.125398905824,1.44138918063786e-127,14
"0km","LQ",3.5,0.891623551829268,0.888885218972271,0.000449220888973656,0.00886852222882187,0.000249537558033106,0.000586854460093897,1.3775926293284e-06,0.10322335840969,0.000498333019232892,39982.5766427519,656.051610862349,3.46898785500558e-143,13
"0km","LQ",4,0.890931707317073,0.888517615276528,0.000475443433049654,0.00883323475135486,0.00025551920818415,0.000586854460093897,1.3775926293284e-06,0.104277612370366,0.000438707104842882,40036.9509702373,710.425938347769,5.40713966349223e-155,12
"0km","H",0.5,0.939234832317073,0.930689043550585,0.000180999193160953,0.00929231340375253,0.000213191653908193,0.000905797101449275,3.28187355597564e-06,0.115930202108417,7.36821407622837e-05,35853.2202597543,0,1,126
"0km","H",1,0.929760213414634,0.922265774729232,0.000285770689310848,0.00941297445745712,0.000303484094193453,0.000905797101449275,3.28187355597564e-06,0.117098256039142,3.32754765120357e-05,36451.4144287094,598.194168955109,1.26995010420506e-130,83
"0km","H",1.5,0.92428125,0.917903428544122,0.000348730183582516,0.00942440017398155,0.000319034283071416,0.000905797101449275,3.28187355597564e-06,0.111538270810485,0.000453094238494594,36855.230978438,1002.01071868367,2.6069760050643e-218,67
"0km","H",2,0.920732774390244,0.915540601544253,0.000370511939215769,0.00931454353146871,0.000320314079367934,0.000905797101449275,3.28187355597564e-06,0.113502854513472,0.000515508805803227,37154.5266073499,1301.30634759555,2.66021652415781e-283,58
"0km","H",2.5,0.9184125,0.913434871780425,0.000396971724203534,0.00941524083833717,0.000325541304020589,0.000905797101449275,3.28187355597564e-06,0.11407952134324,0.000187397774659824,37327.1615654916,1473.94130573725,8.66591142805546e-321,45
"0km","H",3,0.916806631097561,0.912040613472862,0.000409408952749745,0.00944013721559459,0.0003233796570327,0.000905797101449275,3.28187355597564e-06,0.116397601608999,9.46751428043742e-05,37491.9686826406,1638.74842288632,0,39
"0km","H",3.5,0.915566539634146,0.910856822821602,0.000417442440553778,0.00950216798396411,0.000320920989571617,0.000905797101449275,3.28187355597564e-06,0.114549696854673,0.000102021251198538,37642.7704753259,1789.55021557154,0,35
"0km","H",4,0.914626448170732,0.909699280624177,0.000412400602545854,0.00960746082868555,0.000315369692948215,0.000905797101449275,3.28187355597564e-06,0.113067232923456,0.000328661718427895,37772.4735862267,1919.25332647237,0,31
"0km","LQH",0.5,0.939162271341463,0.930532726218113,0.00017245521035317,0.0092720921627393,0.000203762845987631,0.000905797101449275,3.28187355597564e-06,0.11481483266256,0.000125259524269551,35854.8207916754,0,1,125
"0km","LQH",1,0.929870274390244,0.922530203664054,0.000268867352903961,0.00923281025944467,0.000290058770007329,0.000905797101449275,3.28187355597564e-06,0.120663104970608,5.79320686258266e-05,36467.6185962407,612.797804565314,8.56342458548068e-134,91
"0km","LQH",1.5,0.92421737804878,0.917970878649857,0.000343274514201353,0.00924615295511733,0.000310748799781632,0.000905797101449275,3.28187355597564e-06,0.115672477920005,0.000404145584285608,36857.2812908055,1002.46049913016,2.08194115815874e-218,72
"0km","LQH",2,0.920626295731707,0.915562668085192,0.000371410849932942,0.00919307377795667,0.000312587778836027,0.000905797101449275,3.28187355597564e-06,0.112916000053378,0.000540221774360094,37147.2255156992,1292.40472402384,2.27971200047979e-281,62
"0km","LQH",2.5,0.918156173780488,0.913194980300208,0.000398762543624684,0.00945896959464879,0.000331687600716698,0.000905797101449275,3.28187355597564e-06,0.116853495491907,0.000264837242897646,37325.816683365,1470.99589168965,3.77811999374801e-320,48
"0km","LQH",3,0.916720198170732,0.911389821489734,0.000439692758100268,0.00980881966002911,0.000357665500817415,0.000905797101449275,3.28187355597564e-06,0.121046042075758,0.000272670596721578,37492.6994645097,1637.87867283433,0,42
"0km","LQH",3.5,0.91543681402439,0.91025911107396,0.000441144235979731,0.00981723585043331,0.000350920179366469,0.000905797101449275,3.28187355597564e-06,0.11670503863268,0.000356962718351453,37653.5310001881,1798.71020851275,0,42
"0km","LQH",4,0.914340853658537,0.909026200420817,0.000447893482985225,0.00999635246325786,0.000353579047461956,0.000905797101449275,3.28187355597564e-06,0.114363275781768,0.000828022809998218,37792.7027347918,1937.88194311647,0,35
"0km","LQHP",0.5,0.942296493902439,0.933870504730668,0.000187091023237509,0.00875307955304047,0.000250945758758983,0.00181159420289855,1.31274942239025e-05,0.122892190200072,0.000155176755109652,35684.871189702,0,1,125
"0km","LQHP",1,0.933657240853659,0.926624543466481,0.000212383806195513,0.00845546697192309,0.000260309682591281,0.000905797101449275,3.28187355597564e-06,0.10828670953091,0.000100732812008913,36279.5390096313,594.667819929338,7.4049753920191e-130,98
"0km","LQHP",1.5,0.927426524390244,0.921358268039211,0.000278003978627141,0.0086522470586049,0.000281960621815193,0.000905797101449275,3.28187355597564e-06,0.116747638454983,0.000464436183196967,36710.5478284064,1025.67663870441,1.8929877206015e-223,73
"0km","LQHP",2,0.923343673780488,0.917284863278994,0.000344593780501168,0.00893624234970194,0.00030054985969338,0.000905797101449275,3.28187355597564e-06,0.113201408154157,0.000702545955981034,37023.14259243,1338.27140272804,2.50067500454507e-291,65
"0km","LQHP",2.5,0.919621722560976,0.913930970873345,0.000392626854086913,0.00929577533044545,0.000316636461453163,0.000905797101449275,3.28187355597564e-06,0.1199306726299,0.000375875271190679,37256.691496007,1571.82030630499,0,51
"0km","LQHP",3,0.917079344512195,0.911620604577889,0.000423100251712363,0.00974172496669357,0.000339096151064674,0.000905797101449275,3.28187355597564e-06,0.113434327408815,0.000156839733049231,37467.7808863677,1782.90969666568,0,47
"0km","LQHP",3.5,0.915299161585366,0.910231951940703,0.000440185348726606,0.00993028463362311,0.000347247679103558,0.000905797101449275,3.28187355597564e-06,0.120020790014796,0.000247803405631381,37646.973357659,1962.10216795698,0,40
"0km","LQHP",4,0.913968140243902,0.908822802240447,0.000451436480034324,0.0100645797651188,0.000349324146320987,0.000905797101449275,3.28187355597564e-06,0.120070064207401,0.000300037884605786,37801.2781271112,2116.40693740921,0,37
"0km","LQHPT",0.5,0.955439024390244,0.938678594362993,7.02039349326495e-05,0.0175589518205598,9.50068504866341e-05,0.00415901204327414,2.38287934894101e-05,0.148425771199703,0.000264459525844333,35697.6367259336,231.213996710809,6.20181125501035e-51,291
"0km","LQHPT",1,0.944521646341463,0.932506531360644,0.000157335944288057,0.0117887004676527,0.000203834185142788,0.00149265156154317,3.24194333483568e-06,0.127441746606718,0.000310876587095632,35466.4227292227,0,1,196
"0km","LQHPT",1.5,0.938078506097561,0.926551802119727,0.000243404874398391,0.0109274019184195,0.000258050620156455,0.000905797101449275,3.28187355597564e-06,0.129480409436065,0.000351213974255808,35734.826772903,268.404043680268,5.20957691698401e-59,141
"0km","LQHPT",2,0.931968445121951,0.920992021074906,0.000364065188364487,0.0107621695140964,0.000328104968534338,0.000905797101449275,3.28187355597564e-06,0.126337584172026,0.000331208656169026,36090.1387293445,623.716000121749,3.64578821022758e-136,122
"0km","LQHPT",2.5,0.926449237804878,0.917518460760057,0.000395395260425188,0.0106013723574767,0.000362492355183268,0.000905797101449275,3.28187355597564e-06,0.125265833929311,0.000181613703937638,36390.5652636063,924.142534383558,2.1134813146279e-201,98
"0km","LQHPT",3,0.923179420731707,0.915527587599411,0.000390605704022284,0.0104899615734863,0.000350425544230584,0.000905797101449275,3.28187355597564e-06,0.12748648815846,0.000312340594130256,36596.8206399842,1130.39791076147,3.44518462710348e-246,83
"0km","LQHPT",3.5,0.920652515243902,0.913981261091687,0.000399933838998866,0.0104156358561856,0.000342268639473757,0.000905797101449275,3.28187355597564e-06,0.121760446820776,0.000464787421319435,36765.9504017716,1299.52767254887,6.47368205266957e-283,75
"0km","LQHPT",4,0.918592606707317,0.912558421878606,0.000405609653873755,0.01029954430411,0.000331317170355684,0.000905797101449275,3.28187355597564e-06,0.124297164712668,0.000254146978151929,36933.2487898563,1466.82606063357,3.03924482039243e-319,69
"1km","L",0.5,0.837066259711432,0.834517843496973,0.000134340805185874,0.00489358781040078,0.000143027376814715,0.00117924528301887,5.562477750089e-06,0.10660925730603,1.80655506528715e-05,28676.479668703,0,0.999999999999837,14
"1km","L",1,0.833375804661487,0.830534765424199,0.000132467031430637,0.00541490822180182,0.000119517567267432,0,0,0.107871392596868,0.000109191686695223,28735.3699943349,58.8903256319609,1.62977732155273e-13,14
"1km","L",1.5,0.830290233074362,0.827169134558401,0.000106906479152313,0.00517111987693825,9.42287384526213e-05,0.00102459016393443,4.1991400161247e-06,0.106725020586526,0.000135560849358545,28781.7158813173,105.236212614291,1.40684672074426e-23,11
"1km","L",2,0.825791342952275,0.822189521736886,8.59467453141645e-05,0.00544198475662677,6.8505719417152e-05,0.00102459016393443,4.1991400161247e-06,0.110225317300419,9.32741323216354e-05,28847.9592826605,171.479613957548,5.80329903508149e-38,12
"1km","L",2.5,0.819225305216426,0.815609865686978,6.08339841752075e-05,0.00553813888647928,4.9762994353013e-05,0.00102459016393443,4.1991400161247e-06,0.112550934593781,0.000206404627553293,28919.5343061165,243.054637413508,1.66477706892439e-53,11
"1km","L",3,0.815934184239734,0.812619483248149,6.36252665414103e-05,0.00516553183186616,4.8174051325401e-05,0.00102459016393443,4.1991400161247e-06,0.104769314694876,0.000263856450137634,28952.8159437652,276.336275062189,9.87052596752811e-61,10
"1km","L",3.5,0.813165704772475,0.810075093768101,6.57529748269703e-05,0.00467389806746044,5.30076260573072e-05,0.00102459016393443,4.1991400161247e-06,0.103788182232016,0.000221653549155379,28978.8818354799,302.402166776883,2.15875733692722e-66,9
