"thin_dist","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"0km","LQHPT",1,0.944521646341463,0.932506531360644,0.000157335944288057,0.0117887004676527,0.000203834185142788,0.00149265156154317,3.24194333483568e-06,0.127441746606718,0.000310876587095632,35466.4227292227,0,1,196
"1km","LQHPT",1,0.92859256381798,0.913620475809014,2.55412532647326e-05,0.0144147668549643,6.77496800575507e-05,0.00226244343891403,2.04746012571405e-05,0.14494385448093,0.000197833110934332,26945.168028009,0,1,157
"5km","LQHP",0.5,0.918386430678466,0.903161011174289,0.000104977488324614,0.0160925256141112,0.000161816583342546,0.0065359477124183,0.000170874449997864,0.133198342313462,0.000839553942983749,20869.4823542636,0,0.999999982692627,113
"10km","LQH",0.5,0.911131643356643,0.892860198432376,0.000228922736166988,0.0191316955756836,0.000317404588003859,0.00703695255474453,0.000106833929118493,0.152212260657992,0.00011873902806145,17694.2499970846,0,0.999999999999507,99
"50km","LQH",1.5,0.873940298507463,0.856601855699856,0.000590116490805008,0.0193017441562276,0.000636747334920417,0.0113636363636364,0.000516528925619835,0.138583152958153,0.00389266987346668,8460.31549453058,0,0.988317910972622,29
