gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1703119870	StillImage	image/jpeg	https://static.inaturalist.org/photos/1937166/original.jpg?1433021756	http://www.inaturalist.org/photos/1937166					2015-05-28T18:50:02Z	rbbrummitt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rbbrummitt
1703119870	StillImage	image/jpeg	https://static.inaturalist.org/photos/1937165/original.jpg?1433021744	http://www.inaturalist.org/photos/1937165					2015-05-28T18:50:38Z	rbbrummitt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rbbrummitt
1702487604	StillImage	image/jpeg	https://static.inaturalist.org/photos/11736861/original.jpg?1510262504	https://www.inaturalist.org/photos/11736861					2017-11-08T22:53:00Z	vickyschild		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	vickyschild
1702487604	StillImage	image/jpeg	https://static.inaturalist.org/photos/11736860/original.jpg?1510262498	https://www.inaturalist.org/photos/11736860					2017-11-08T22:53:00Z	vickyschild		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	vickyschild
1702487604	StillImage	image/jpeg	https://static.inaturalist.org/photos/11736859/original.jpg?1510262493	https://www.inaturalist.org/photos/11736859					2017-11-08T22:53:00Z	vickyschild		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	vickyschild
1702479513	StillImage	image/jpeg	https://static.inaturalist.org/photos/11692838/original.jpg?1510031861	https://www.inaturalist.org/photos/11692838					2017-11-06T01:11:48Z	cassiesillner		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cassiesillner
1702472297	StillImage	image/jpeg	https://static.inaturalist.org/photos/11658277/original.jpg?1509910604	https://www.inaturalist.org/photos/11658277					2017-10-26T00:43:38Z	gracedavies		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gracedavies
1702472293	StillImage	image/jpeg	https://static.inaturalist.org/photos/11658304/original.jpg?1509910658	https://www.inaturalist.org/photos/11658304					2017-10-26T00:29:12Z	gracedavies		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gracedavies
1699390133	StillImage	image/jpeg	https://static.inaturalist.org/photos/11565669/original.jpeg?1509509939	https://www.inaturalist.org/photos/11565669					2017-10-27T23:17:40Z	Francesca Retuta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Francesca Retuta
1699390133	StillImage	image/jpeg	https://static.inaturalist.org/photos/11565672/original.jpeg?1509509951	https://www.inaturalist.org/photos/11565672					2017-10-27T23:17:31Z	Francesca Retuta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Francesca Retuta
1699390133	StillImage	image/jpeg	https://static.inaturalist.org/photos/11565671/original.jpeg?1509509944	https://www.inaturalist.org/photos/11565671					2017-10-27T23:17:44Z	Francesca Retuta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Francesca Retuta
1699386062	StillImage	image/jpeg	https://static.inaturalist.org/photos/11544276/original.jpeg?1509423095	https://www.inaturalist.org/photos/11544276					2017-10-27T12:35:18Z	Francesca Retuta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Francesca Retuta
1677353046	StillImage	image/jpeg	https://static.inaturalist.org/photos/11460226/original.jpeg?1509126500	https://www.inaturalist.org/photos/11460226					2017-10-27T11:13:51Z	Francesca Retuta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Francesca Retuta
1677353046	StillImage	image/jpeg	https://static.inaturalist.org/photos/11460217/original.jpeg?1509126484	https://www.inaturalist.org/photos/11460217					2017-10-27T11:14:22Z	Francesca Retuta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Francesca Retuta
1677353046	StillImage	image/jpeg	https://static.inaturalist.org/photos/11460224/original.jpeg?1509126494	https://www.inaturalist.org/photos/11460224					2017-10-27T11:13:56Z	Francesca Retuta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Francesca Retuta
1677353046	StillImage	image/jpeg	https://static.inaturalist.org/photos/11460220/original.jpeg?1509126489	https://www.inaturalist.org/photos/11460220					2017-10-27T11:13:59Z	Francesca Retuta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Francesca Retuta
1677349972	StillImage	image/jpeg	https://static.inaturalist.org/photos/11439678/original.jpg?1509040508	https://www.inaturalist.org/photos/11439678					2017-10-26T17:50:34Z	sarah_burris		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sarah_burris
1677349972	StillImage	image/jpeg	https://static.inaturalist.org/photos/11439680/original.jpg?1509040512	https://www.inaturalist.org/photos/11439680					2017-10-26T17:50:34Z	sarah_burris		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sarah_burris
1677343967	StillImage	image/jpeg	https://static.inaturalist.org/photos/11403152/original.jpg?1508885439	https://www.inaturalist.org/photos/11403152					2017-10-24T20:41:16Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677343967	StillImage	image/jpeg	https://static.inaturalist.org/photos/11403156/original.jpg?1508885447	https://www.inaturalist.org/photos/11403156					2017-10-24T20:41:16Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677343967	StillImage	image/jpeg	https://static.inaturalist.org/photos/11403153/original.jpg?1508885443	https://www.inaturalist.org/photos/11403153					2017-10-24T20:41:16Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677343677	StillImage	image/jpeg	https://static.inaturalist.org/photos/11401260/original.jpeg?1508880588	https://www.inaturalist.org/photos/11401260					2017-10-24T13:30:02Z	alexis_schlemm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alexis_schlemm
1677343677	StillImage	image/jpeg	https://static.inaturalist.org/photos/11401264/original.jpeg?1508880595	https://www.inaturalist.org/photos/11401264					2017-10-24T13:30:09Z	alexis_schlemm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alexis_schlemm
1677343677	StillImage	image/jpeg	https://static.inaturalist.org/photos/11401267/original.jpeg?1508880602	https://www.inaturalist.org/photos/11401267					2017-10-24T13:30:00Z	alexis_schlemm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alexis_schlemm
1677343451	StillImage	image/jpeg	https://static.inaturalist.org/photos/11404892/original.jpeg?1508890574	https://www.inaturalist.org/photos/11404892					2017-10-24T18:13:41Z	bryn067		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bryn067
1677343451	StillImage	image/jpeg	https://static.inaturalist.org/photos/11404893/original.jpeg?1508890580	https://www.inaturalist.org/photos/11404893					2017-10-24T18:13:47Z	bryn067		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bryn067
1677337465	StillImage	image/jpeg	https://static.inaturalist.org/photos/11369145/original.jpg?1508737863	https://www.inaturalist.org/photos/11369145					2017-10-22T22:48:46Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677331730	StillImage	image/jpeg	https://static.inaturalist.org/photos/11341467/original.jpg?1508651083	https://www.inaturalist.org/photos/11341467					2017-10-22T02:39:09Z	taylorb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	taylorb
